Day,Question Name,Leet Code Link,Neet Code Link,Difficulty,Category
121,Count Good Nodes In Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,https://neetcode.io/problems/count-good-nodes-in-binary-tree,Medium,Trees
122,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,https://neetcode.io/problems/max-water-container,Medium,Two Pointers
123,Walls And Gates,https://leetcode.com/problems/walls-and-gates/,https://neetcode.io/problems/islands-and-treasure,Medium,Graphs
124,Word Break,https://leetcode.com/problems/word-break/,https://neetcode.io/problems/word-break,Medium,1-D Dynamic Programming
125,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,https://neetcode.io/problems/valid-binary-search-tree,Medium,Trees
126,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,https://neetcode.io/problems/add-two-numbers,Medium,Linked List
127,Kth Smallest Element In a Bst,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,https://neetcode.io/problems/kth-smallest-integer-in-bst,Medium,Trees
128,Construct Binary Tree From Preorder And Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal,Medium,Trees
129,Find The Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,https://neetcode.io/problems/find-duplicate-integer,Medium,Linked List
130,Task Scheduler,https://leetcode.com/problems/task-scheduler/,https://neetcode.io/problems/task-scheduling,Medium,Heap / Priority Queue
131,LRU Cache,https://leetcode.com/problems/lru-cache/,https://neetcode.io/problems/lru-cache,Medium,Linked List
132,Multiply Strings,https://leetcode.com/problems/multiply-strings/,https://neetcode.io/problems/multiply-strings,Medium,Math & Geometry
133,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,https://neetcode.io/problems/longest-increasing-subsequence,Medium,1-D Dynamic Programming
134,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,https://neetcode.io/problems/rotting-fruit,Medium,Graphs
135,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,https://neetcode.io/problems/valid-sudoku,Medium,Arrays & Hashing
136,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,https://neetcode.io/problems/partition-equal-subset-sum,Medium,1-D Dynamic Programming
137,Design Twitter,https://leetcode.com/problems/design-twitter/,https://neetcode.io/problems/design-twitter-feed,Medium,Heap / Priority Queue
138,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,https://neetcode.io/problems/pacific-atlantic-water-flow,Medium,Graphs
139,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,https://neetcode.io/problems/surrounded-regions,Medium,Graphs
140,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,https://neetcode.io/problems/combination-target-sum-ii,Medium,Backtracking
141,Course Schedule,https://leetcode.com/problems/course-schedule/,https://neetcode.io/problems/course-schedule,Medium,Graphs
142,Word Search,https://leetcode.com/problems/word-search/,https://neetcode.io/problems/search-for-word,Medium,Backtracking
143,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,https://neetcode.io/problems/longest-consecutive-sequence,Medium,Arrays & Hashing
144,Detect Squares,https://leetcode.com/problems/detect-squares/,https://neetcode.io/problems/count-squares,Medium,Math & Geometry
145,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,https://neetcode.io/problems/palindrome-partitioning,Medium,Backtracking
146,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,https://neetcode.io/problems/combinations-of-a-phone-number,Medium,Backtracking
147,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,https://neetcode.io/problems/course-schedule-ii,Medium,Graphs
148,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,https://neetcode.io/problems/valid-tree,Medium,Graphs
149,Number of Connected Components In An Undirected Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,https://neetcode.io/problems/count-connected-components,Medium,Graphs
150,Redundant Connection,https://leetcode.com/problems/redundant-connection/,https://neetcode.io/problems/redundant-connection,Medium,Graphs
